Time (s), Cell Name, Value
46.49572534179688, C000, 5.841334
46.595648681640625, C000, 6.69741
120.93843334960937, C000, 4.212724
121.0383564453125, C000, 6.091366
122.43727954101563, C000, 9.917747
122.53720239257812, C000, 4.687223
168.401904296875, C000, 8.761167
168.50182739257812, C000, 4.89845
287.11054443359376, C000, 6.535272
287.21046728515626, C000, 6.521006
398.3249514160156, C000, 5.819198
398.4248742675781, C000, 4.370676
398.52479736328127, C000, 5.649798
412.11433935546876, C000, 4.401389
412.21426245117186, C000, 5.239749
446.88757763671873, C000, 5.959337
446.9875004882812, C000, 4.620296
499.0474333496094, C000, 7.192768
552.9059833984375, C000, 8.504724
553.0059064941406, C000, 6.122176
553.1058295898438, C000, 4.267522
786.0265693359376, C000, 7.286119
786.2264162597656, C000, 4.867378
841.5838125, C000, 7.591833
841.6837353515625, C000, 5.43555
894.6429765625, C000, 6.251359
950.0003725585938, C000, 11.17278
950.1002954101563, C000, 12.47517
1013.5514624023438, C000, 6.604503
1032.9365434570313, C000, 5.9913
1033.0364663085938, C000, 6.769902
1049.9234704589844, C000, 4.183469
1153.2439536132813, C000, 6.128405
1329.308450439453, C000, 8.542603
1329.4083732910156, C000, 5.107563
1329.5082973632811, C000, 5.199264
1337.8019145507812, C000, 6.970628
1459.308400390625, C000, 6.401949
1459.408323486328, C000, 8.483827
1505.772641357422, C000, 6.533822
1505.872564453125, C000, 5.553897
1521.0608745117188, C000, 6.196331
1534.1508005371093, C000, 7.760473
1534.250723388672, C000, 5.549891
1577.3175783691406, C000, 7.233122
1577.4175014648438, C000, 6.063966
1581.814118408203, C000, 6.652706
1581.9140415039062, C000, 7.389124
1666.2491354980468, C000, 4.705281
1722.006223388672, C000, 5.864907
1769.1699255371093, C000, 4.436371
21.3151044921875, C001, 6.859332
21.514951416015624, C001, 5.708598
39.10141625976563, C001, 4.141228
39.201339599609376, C001, 5.014305
73.37503833007813, C001, 4.277582
73.47496166992188, C001, 4.089312
76.3727314453125, C001, 6.655656
115.84235546875, C001, 4.999341
117.74089331054688, C001, 6.671649
117.8408173828125, C001, 6.245097
121.63789453125, C001, 4.937709
126.53412646484375, C001, 4.58363
126.63404956054687, C001, 4.374839
126.73397241210938, C001, 4.723046
127.533357421875, C001, 4.859171
138.82466748046875, C001, 4.325943
170.2005205078125, C001, 5.968723
170.300443359375, C001, 8.807464
170.99990454101564, C001, 5.060932
171.09982861328126, C001, 5.720142
196.180525390625, C001, 7.035797
259.93146142578127, C001, 4.519061
260.03138452148437, C001, 5.348016
275.2196953125, C001, 4.675856
283.1136206054687, C001, 4.067162
306.29577856445314, C001, 5.959496
306.39570141601564, C001, 5.719709
368.74771459960937, C001, 4.715865
370.0467155761719, C001, 4.165193
370.44640747070315, C001, 4.420124
377.74079345703126, C001, 4.100107
381.63779443359374, C001, 7.798892
398.3249514160156, C001, 4.064123
398.4248742675781, C001, 5.783747
398.52479736328127, C001, 4.2454
425.20426440429685, C001, 4.759049
428.50172729492186, C001, 6.725834
474.3664284667969, C001, 6.705944
478.463275390625, C001, 4.513666
