Time (s), Cell Name, Value
30.126490478515624, C000, 5.709758
30.226412841796876, C000, 4.63368
61.60218359375, C000, 4.222419
61.702106689453124, C000, 5.227227
61.80202954101563, C000, 5.150126
61.90195263671875, C000, 4.560804
80.88729174804688, C000, 3.853189
80.98721459960937, C000, 5.994308
81.08713671875, C000, 3.942225
81.1870595703125, C000, 5.196297
85.88343359375, C000, 4.165121
134.5458544921875, C000, 6.418901
144.63806176757814, C000, 6.581655
144.73798461914063, C000, 6.483443
144.8379064941406, C000, 7.699865
146.33674951171875, C000, 10.26816
146.43667260742188, C000, 6.468019
146.53659545898438, C000, 12.56278
146.63651782226563, C000, 7.396679
146.73644067382813, C000, 7.034031
146.83636352539062, C000, 6.669888
147.03620947265625, C000, 3.974823
174.71483569335936, C000, 7.970577
174.81475756835937, C000, 4.619603
174.9146806640625, C000, 7.825467
211.28659375, C000, 8.479258
233.96907763671874, C000, 3.960907
234.06900073242187, C000, 6.020308
294.02270263671875, C000, 5.811209
294.12262548828124, C000, 4.739069
362.17007763671876, C000, 6.943474
362.2699997558594, C000, 6.216302
383.75340966796875, C000, 5.111081
403.33828564453125, C000, 3.883883
403.43820849609375, C000, 6.965127
403.53813159179685, C000, 5.107284
426.7202297363281, C000, 5.645762
426.8201528320312, C000, 8.207146
426.9200756835937, C000, 4.220488
449.30279052734375, C000, 4.89115
486.0743947753906, C000, 3.903895
491.67007373046874, C000, 7.109056
491.76999658203124, C000, 6.093236
491.8699196777344, C000, 7.1025
491.9698427734375, C000, 7.206419
492.0697646484375, C000, 7.54034
492.1696877441406, C000, 7.474989
492.2696105957031, C000, 4.931305
492.3695334472656, C000, 7.216106
492.4694567871094, C000, 5.289249
530.1403654785156, C000, 6.531465
530.2402888183594, C000, 6.499789
530.3402116699219, C000, 6.572803
530.440134765625, C000, 7.755955
530.5400576171875, C000, 5.268366
531.4393627929687, C000, 4.627798
531.5392856445312, C000, 11.10625
531.6392084960937, C000, 8.67845
538.633806640625, C000, 6.37489
538.7337294921875, C000, 5.902113
574.8058735351563, C000, 7.220934
574.905796875, C000, 6.637523
575.0057197265625, C000, 6.431026
575.105642578125, C000, 5.235859
575.2055656738281, C000, 7.796175
579.0026325683593, C000, 5.250684
579.1025556640625, C000, 7.786897
579.2024787597657, C000, 8.840818
579.3024016113282, C000, 7.081957
579.4023247070312, C000, 9.428295
579.7020925292969, C000, 8.298117
579.802015625, C000, 4.497631
581.1010126953125, C000, 3.976456
615.9740827636718, C000, 4.595045
616.0740056152343, C000, 6.115465
616.1739287109375, C000, 9.00931
626.5659035644532, C000, 6.969265
626.6658266601562, C000, 5.727428
627.1654406738281, C000, 6.394862
640.5551005859375, C000, 4.604287
