Time (s), Cell Name, Value
17.21369482421875, C000, 5.488323
17.313617919921874, C000, 4.115561
35.499560791015625, C000, 4.60592
35.59948388671875, C000, 4.442016
35.69940698242188, C000, 5.893201
44.0929189453125, C000, 8.048665
44.19284204101562, C000, 4.872248
44.29276489257813, C000, 6.232823
44.39268676757813, C000, 4.593794
72.57090795898438, C000, 5.32864
106.64457080078125, C000, 7.817005
106.94434008789062, C000, 8.704254
107.04426196289063, C000, 8.183018
107.14418481445313, C000, 9.698149
107.24410791015625, C000, 7.308788
107.34403076171876, C000, 4.28355
108.54310400390625, C000, 4.159488
144.11560888671875, C000, 3.812306
173.1931337890625, C000, 4.65274
186.18309399414062, C000, 5.437778
193.57737890625, C000, 3.836956
221.25598510742188, C000, 8.02969
275.01443383789064, C000, 4.128436
275.11435571289064, C000, 4.309402
275.21427905273435, C000, 9.020218
275.31420190429685, C000, 4.336372
291.90138110351563, C000, 4.808415
313.7844670410156, C000, 4.133306
369.1416799316406, C000, 6.258762
372.0394399414063, C000, 4.043024
372.13936279296877, C000, 6.563038
372.2392858886719, C000, 8.360909
372.43913110351565, C000, 10.91051
372.53905395507815, C000, 9.486963
385.62893701171873, C000, 5.703411
385.72885888671874, C000, 4.55068
385.8287819824219, C000, 5.372883
385.928705078125, C000, 5.174232
386.0286279296875, C000, 6.421108
386.1285510253906, C000, 4.454319
433.2920969238281, C000, 8.253931
433.49194189453124, C000, 5.307126
436.3897019042969, C000, 3.830216
436.489625, C000, 5.563149
436.5895478515625, C000, 7.658789
436.68947094726565, C000, 8.711908
436.78939306640626, C000, 6.503706
455.474951171875, C000, 6.279267
455.5748740234375, C000, 6.622674
455.6747958984375, C000, 10.16774
455.77471899414064, C000, 6.854
455.87464184570314, C000, 7.71277
455.97456494140624, C000, 6.749151
529.4177978515625, C000, 3.852003
586.773466796875, C000, 5.443714
586.8733889160156, C000, 3.918938
586.9733120117188, C000, 5.876201
587.0732348632813, C000, 3.811852
678.9022580566407, C000, 4.350538
721.3694338378906, C000, 4.03171
721.4693569335938, C000, 8.911007
734.4593159179688, C000, 7.393238
734.7590849609375, C000, 4.05989
737.556921875, C000, 10.44697
737.6568449707031, C000, 5.367453
772.7297358398438, C000, 3.881311
772.8296589355468, C000, 6.305772
772.9295817871093, C000, 5.992773
773.02950390625, C000, 4.703089
804.2054079589843, C000, 5.146606
811.2000009765625, C000, 4.93925
863.0599169921875, C000, 4.535851
863.15983984375, C000, 7.060749
909.9236948242187, C000, 5.139024
910.0236179199219, C000, 5.710795
910.123541015625, C000, 6.119885
924.1127277832031, C000, 10.53702
924.2126511230468, C000, 6.772779
924.3125739746093, C000, 8.523943
924.4124958496094, C000, 8.046713
924.5124189453124, C000, 4.298298
930.0081708984375, C000, 4.164512
930.1080939941406, C000, 8.49772
950.8920300292968, C000, 7.444139
953.3900988769532, C000, 6.148226
953.4900209960938, C000, 8.126795
953.5899438476563, C000, 5.063709
953.6898669433593, C000, 8.029495
991.1609047851563, C000, 5.167854
991.2608269042969, C000, 8.795164
1020.3383530273437, C000, 5.250037
1043.4205119628907, C000, 5.672009
1043.5204348144532, C000, 6.791971
1043.6203569335937, C000, 4.33877
1079.0929399414063, C000, 5.076296
1079.1928618164063, C000, 6.588124
1079.2927849121095, C000, 5.734424
1079.392707763672, C000, 7.033571
1079.492630859375, C000, 7.173643
1079.5925529785156, C000, 8.241829
1079.6924758300781, C000, 7.595098
1079.7923989257813, C000, 6.289333
1113.5662939453125, C000, 4.663406
1113.8660629882813, C000, 4.517321
1120.6608110351563, C000, 4.340487
1134.8498439941407, C000, 6.648589
1134.9497658691407, C000, 6.002319
1135.0496887207032, C000, 5.209448
1135.1496120605468, C000, 7.600409
1135.2495349121093, C000, 6.102655
1135.34945703125, C000, 8.762346
1135.549302734375, C000, 4.346025
1135.6492260742189, C000, 7.081532
1135.7491479492187, C000, 4.790127
1167.1248969726562, C000, 4.073304
1206.4944670410157, C000, 4.580435
1224.680410888672, C000, 4.190433
1224.780333984375, C000, 3.824947
1260.9523759765625, C000, 4.654718
1261.1522209472657, C000, 7.669049
1277.3397087402343, C000, 8.123337
1288.0314450683593, C000, 6.510476
1292.8277377929687, C000, 6.141307
1292.9276608886719, C000, 6.786179
1293.0275837402344, C000, 8.484604
1293.1275061035155, C000, 4.722076
1293.227428955078, C000, 9.235138
1315.2104379882812, C000, 7.411102
1315.3103608398437, C000, 5.348546
1315.4102839355469, C000, 4.12019
1353.4808579101561, C000, 5.486974
1473.8877919921874, C000, 5.868087
1512.2581337890624, C000, 5.338449
1512.3580571289062, C000, 4.738903
1512.4579799804687, C000, 9.208547
1525.4479399414063, C000, 6.225653
1525.5478618164063, C000, 6.504283
1525.6477849121093, C000, 8.790895
1525.7477077636718, C000, 4.449572
1566.81596484375, C000, 4.337593
1566.9158879394531, C000, 6.02341
1567.0158110351563, C000, 5.881192
1567.1157338867188, C000, 8.114435
1567.2156557617188, C000, 6.384178
1639.060125732422, C000, 4.487771
1648.5527890625, C000, 4.218726
1648.6527109375, C000, 5.443442
1648.7526337890624, C000, 6.133784
1655.3475368652344, C000, 6.31053
1655.4474599609375, C000, 7.086694
1655.5473818359376, C000, 5.576179
1655.6473049316405, C000, 7.762554
1655.7472280273437, C000, 7.356905
1655.8471508789062, C000, 7.314194
1708.1067578125, C000, 5.399991
1708.2066811523437, C000, 6.909692
1776.5538527832032, C000, 9.621588
1776.6537758789063, C000, 8.646402
1779.851303955078, C000, 5.808558
1779.9512270507812, C000, 9.970022
1780.0511499023437, C000, 9.013626
1780.1510729980469, C000, 8.176537
1780.2509958496094, C000, 7.190248
33.001491943359376, C001, 5.187444
33.1014150390625, C001, 5.399302
33.30126000976563, C001, 6.499825
33.401182861328124, C001, 4.203632
96.95206298828126, C001, 5.640574
97.05198608398437, C001, 4.908081
97.15190795898438, C001, 6.084835
142.21707592773438, C001, 4.333947
147.01336889648437, C001, 4.777459
147.1132919921875, C001, 4.263839
147.21321484375, C001, 7.096937
147.31313671875, C001, 5.870156
147.41306005859374, C001, 9.259878
206.86710693359376, C001, 5.522062
207.06695190429687, C001, 6.006942
207.166875, C001, 6.051328
207.26679809570314, C001, 7.951561
207.36671997070312, C001, 4.401516
263.5233149414062, C001, 4.680476
263.6232377929687, C001, 6.531252
263.7231608886719, C001, 4.444776
263.823083984375, C001, 4.514736
460.27124389648435, C001, 6.538956
721.2695109863281, C001, 6.206779
721.3694338378906, C001, 6.570098
825.8886477050781, C001, 4.582804
826.0884938964844, C001, 6.520671
826.188416015625, C001, 7.455363
942.1987487792969, C001, 6.697255
1018.4398198242187, C001, 7.580635
1018.6396657714844, C001, 5.399487
1018.7395881347657, C001, 5.168337
1018.8395109863282, C001, 7.471664
1018.9394338378906, C001, 5.474567
1019.0393569335937, C001, 7.277706
1020.5381979980468, C001, 8.217999
1020.6381208496093, C001, 11.3236
1020.7380439453125, C001, 8.104961
1020.8379660644531, C001, 8.479462
1020.9378889160156, C001, 7.364571
1021.0378120117188, C001, 7.688168
1021.1377348632813, C001, 8.053928
1021.2376579589844, C001, 5.937271
1021.337580078125, C001, 9.681438
1021.4375029296875, C001, 4.759251
1022.0370400390625, C001, 4.109123
1037.2252998046874, C001, 4.362335
1100.576333984375, C001, 4.216903
1122.9590339355468, C001, 4.229106
1123.1588801269531, C001, 6.31992
1184.1117680664063, C001, 5.812781
1184.3116127929688, C001, 5.363982
1191.1063608398438, C001, 4.81823
1339.5915930175781, C001, 4.275079
1339.6915158691406, C001, 5.199998
1339.8913610839843, C001, 8.654425
1340.09120703125, C001, 6.305201
1452.004705810547, C001, 6.221323
1452.10462890625, C001, 5.638411
1678.1299279785155, C001, 4.138661
1678.2298498535156, C001, 4.252559
1678.3297729492188, C001, 4.632327
1678.4296958007812, C001, 5.684722
1678.5296188964844, C001, 8.702312
477.7577277832031, C002, 5.304651
955.7882448730469, C002, 4.132867
975.4730297851562, C002, 6.095873
1355.87900390625, C002, 5.39634
1357.977382080078, C002, 7.334593
1460.9977548828124, C002, 4.863538
1599.0910190429688, C002, 5.164555
1773.2564020996094, C002, 4.758356
53.18589086914063, C003, 5.594995
73.37028979492187, C003, 5.614506
88.75839599609375, C003, 4.759043
88.85831884765625, C003, 5.399471
88.95824194335937, C003, 4.624848
149.91112890625, C003, 4.997759
169.09630078125, C003, 4.148146
169.19622314453125, C003, 5.778653
169.29614599609374, C003, 3.935049
271.317291015625, C003, 5.099653
321.178751953125, C003, 4.040534
321.2786748046875, C003, 8.99767
340.3639228515625, C003, 4.150747
433.6917880859375, C003, 4.924964
433.7917099609375, C003, 3.966158
444.2836008300781, C003, 4.797828
468.06521899414065, C003, 5.588877
468.16514184570315, C003, 5.840704
468.26506494140625, C003, 6.218852
724.2671938476562, C003, 5.229804
770.6313579101562, C003, 5.71657
770.7312807617187, C003, 6.574104
784.2208537597656, C003, 4.468675
930.0081708984375, C003, 6.576477
930.1080939941406, C003, 6.726655
946.4954279785156, C003, 4.573408
990.4614448242188, C003, 6.546117
990.5613679199218, C003, 4.068233
990.661291015625, C003, 9.966556
990.7612141113282, C003, 3.788574
990.8611359863281, C003, 8.245321
1022.1369619140625, C003, 6.250289
1022.236884765625, C003, 4.555664
1039.4236008300782, C003, 6.671053
1039.5235239257813, C003, 8.528663
1039.6234470214845, C003, 6.725235
1039.7233688964843, C003, 4.818396
1076.195178955078, C003, 4.163543
1076.2951018066406, C003, 3.951079
1108.370309814453, C003, 4.379823
1108.4702329101563, C003, 5.556576
1108.5701557617188, C003, 5.175217
1213.3891379394531, C003, 6.638951
1213.4890607910156, C003, 6.278511
1213.5889841308594, C003, 4.3293
1253.1583999023437, C003, 5.938603
1270.4450378417969, C003, 6.56739
1270.5449609375, C003, 7.82494
1270.6448837890625, C003, 7.261942
1271.6441118164062, C003, 3.904141
1315.2104379882812, C003, 5.344959
1315.3103608398437, C003, 6.996569
1315.4102839355469, C003, 4.908289
1315.5102060546874, C003, 8.59462
1315.61012890625, C003, 4.047663
1345.2871909179687, C003, 4.962474
1345.3871137695312, C003, 4.086626
1347.4854919433594, C003, 6.518592
1347.5854140625, C003, 8.445396
1347.6853369140624, C003, 6.653214
