Time (s), Cell Name, Value
1.76789306640625, C000, 17.98241
1.867815185546875, C000, 21.81235
1.9677373046875, C000, 15.29919
2.1675810546875, C000, 18.67928
12.459547119140625, C000, 11.30045
12.55946923828125, C000, 13.30885
12.65939111328125, C000, 11.0605
12.759313232421874, C000, 13.38977
12.859235107421876, C000, 13.86488
12.9591572265625, C000, 14.48888
13.059079345703125, C000, 14.45009
13.159001220703125, C000, 16.85768
13.258923095703125, C000, 14.32279
13.35884521484375, C000, 19.02993
13.458767333984374, C000, 18.59791
13.558689208984376, C000, 20.42831
13.658611083984376, C000, 21.50249
13.758533203125, C000, 15.70131
13.858455322265625, C000, 19.45929
13.958377197265625, C000, 10.4549
14.15822119140625, C000, 8.138199
14.857675048828124, C000, 10.15446
14.95759716796875, C000, 21.76564
15.057519287109375, C000, 17.90543
42.33622509765625, C000, 11.30337
42.436147216796876, C000, 8.562998
42.5360693359375, C000, 9.12392
42.6359912109375, C000, 9.944946
42.7359130859375, C000, 10.9666
42.835835205078126, C000, 13.6125
43.23552319335938, C000, 14.1564
43.3354453125, C000, 15.84996
43.4353671875, C000, 13.47913
43.63521118164063, C000, 18.63433
43.73513330078125, C000, 20.90971
43.83505517578125, C000, 20.72138
43.93497705078125, C000, 21.00344
44.0348994140625, C000, 10.24036
57.52436938476563, C000, 11.68363
57.62429125976563, C000, 10.16495
57.72421313476563, C000, 11.43128
57.82413525390625, C000, 10.61646
57.92405712890625, C000, 13.99501
58.02397924804688, C000, 9.677147
58.42366723632812, C000, 18.52077
58.52358911132813, C000, 20.44104
58.62351123046875, C000, 16.44556
74.21134301757813, C000, 10.4486
74.31126538085938, C000, 10.33441
74.41118725585937, C000, 8.932549
74.71095336914063, C000, 11.49203
74.81087524414062, C000, 13.94747
89.19964331054688, C000, 10.81746
89.29956518554687, C000, 10.14648
89.39948706054687, C000, 11.79295
89.4994091796875, C000, 11.44757
89.59933129882812, C000, 12.12709
89.69925317382813, C000, 12.46477
89.79917504882812, C000, 15.24951
89.89909716796875, C000, 13.79736
89.99901928710938, C000, 16.66609
90.09894116210937, C000, 19.34365
101.58997119140625, C000, 9.194695
101.68989306640626, C000, 13.31236
101.78981518554687, C000, 12.46227
101.8897373046875, C000, 12.88852
101.9896591796875, C000, 11.93943
102.0895810546875, C000, 12.51258
102.18950317382813, C000, 14.41685
102.28942529296874, C000, 17.16782
102.38934716796875, C000, 15.70596
112.38154736328126, C000, 13.83897
112.48146923828125, C000, 10.05939
112.58139111328126, C000, 12.22633
112.68131298828125, C000, 11.81046
112.7812353515625, C000, 13.10118
112.8811572265625, C000, 16.6659
112.9810791015625, C000, 15.05467
113.08100122070313, C000, 16.23586
113.18092333984374, C000, 16.14487
117.37764721679687, C000, 9.926979
117.47756909179688, C000, 16.59954
117.5774912109375, C000, 15.87453
117.67741333007812, C000, 15.70277
117.77733520507813, C000, 18.49728
117.87725708007812, C000, 18.58099
117.97717919921875, C000, 18.61467
118.07710131835937, C000, 19.09306
118.17702319335937, C000, 8.317947
126.67039331054687, C000, 12.25097
126.77031518554688, C000, 14.37162
126.87023706054687, C000, 14.6761
126.9701591796875, C000, 14.46306
127.07008129882813, C000, 13.84566
127.17000317382812, C000, 16.81862
141.75861499023438, C000, 11.83804
141.85853735351563, C000, 10.10125
141.95845922851564, C000, 13.23728
142.05838110351561, C000, 9.085781
142.15830297851562, C000, 13.73322
142.25822534179687, C000, 11.48898
142.35814721679688, C000, 16.01193
145.45572900390624, C000, 20.20724
145.5556513671875, C000, 21.01643
145.6555732421875, C000, 18.04263
145.7554951171875, C000, 16.64714
145.8554169921875, C000, 24.07938
145.95533935546874, C000, 17.96435
146.05526123046874, C000, 16.77975
168.63763305664062, C000, 8.916102
168.73755517578124, C000, 10.50004
168.83747729492188, C000, 10.96481
168.9373991699219, C000, 9.711391
169.43700927734375, C000, 10.81978
169.53693115234375, C000, 17.4893
169.63685327148437, C000, 17.16348
169.73677514648438, C000, 20.69654
169.836697265625, C000, 17.73145
169.936619140625, C000, 16.28552
170.0365412597656, C000, 9.94339
170.23638525390626, C000, 13.30031
170.33630712890624, C000, 21.99208
170.43622924804689, C000, 14.28642
174.93271923828124, C000, 13.85007
175.03264135742188, C000, 17.08323
175.1325632324219, C000, 18.48879
175.23248510742187, C000, 20.50775
175.3324072265625, C000, 13.43257
175.53225122070313, C000, 11.49615
175.63217309570314, C000, 22.10209
175.73209521484375, C000, 22.25895
175.83201733398437, C000, 20.39911
175.93193920898437, C000, 13.57684
193.01860131835937, C000, 9.466406
193.11852319335938, C000, 7.962405
193.2184450683594, C000, 13.66842
193.3183671875, C000, 11.32279
193.41828930664062, C000, 13.32876
193.51821118164062, C000, 16.2118
193.61813305664063, C000, 14.28991
193.71805517578125, C000, 18.67519
193.8179772949219, C000, 16.50484
193.91789916992187, C000, 15.72524
194.01782104492187, C000, 16.30953
202.91087915039063, C000, 7.870513
203.01080102539063, C000, 11.75822
203.11072314453125, C000, 14.5126
203.21064526367186, C000, 13.95779
203.31056713867187, C000, 15.09063
203.4104892578125, C000, 13.16767
203.5104111328125, C000, 15.43405
203.61033325195314, C000, 14.39392
203.71025512695311, C000, 12.92403
203.91009912109374, C000, 22.08157
204.01002124023438, C000, 21.37772
204.1099431152344, C000, 15.87432
204.209865234375, C000, 20.65071
204.309787109375, C000, 9.188156
237.7836572265625, C000, 9.132315
237.8835791015625, C000, 12.02975
238.08342309570313, C000, 12.81392
238.18334521484374, C000, 12.3772
238.28326708984375, C000, 12.06567
238.38318920898436, C000, 12.88885
246.37694921875, C000, 9.999244
246.47687109375, C000, 10.07789
246.57679321289064, C000, 14.96367
246.6767150878906, C000, 12.81313
246.77663720703126, C000, 10.96975
246.87655908203126, C000, 17.51651
246.97648120117188, C000, 16.29413
265.3621293945312, C000, 8.319196
265.46205126953123, C000, 11.09128
265.56197314453124, C000, 8.872957
265.66189501953124, C000, 13.113
265.7618173828125, C000, 13.74773
265.8617392578125, C000, 13.16417
265.9616611328125, C000, 13.55729
286.8453591308594, C000, 9.469147
286.9452810058594, C000, 8.313271
287.0452033691406, C000, 11.86115
287.1451252441406, C000, 11.388
287.2450471191406, C000, 12.10884
287.34496899414063, C000, 12.4732
287.44489135742185, C000, 13.13772
287.54481323242186, C000, 8.276428
287.9445012207031, C000, 12.53791
288.0444230957031, C000, 15.27913
288.2442673339844, C000, 17.90556
288.3441892089844, C000, 18.96022
301.93358129882813, C000, 11.81285
302.03350317382814, C000, 12.00267
302.13342529296875, C000, 14.71386
302.23334716796876, C000, 12.29298
302.3332692871094, C000, 15.66938
302.4331911621094, C000, 16.21239
302.53311328125, C000, 16.38412
302.63303515625, C000, 17.22576
302.7329572753906, C000, 19.03029
302.8328791503906, C000, 17.66248
310.12718505859374, C000, 7.900422
310.22710717773435, C000, 13.41672
310.327029296875, C000, 13.78585
310.426951171875, C000, 15.07909
310.52687329101565, C000, 12.63596
310.6267951660156, C000, 13.15563
310.72671728515627, C000, 15.90647
311.0264831542969, C000, 15.37422
311.1264052734375, C000, 20.60906
311.2263271484375, C000, 23.8119
311.32624926757813, C000, 19.29578
311.42617114257814, C000, 21.36471
311.52609301757815, C000, 15.92992
311.62601513671876, C000, 11.13512
311.9257810058594, C000, 15.39186
333.2091669921875, C000, 9.840516
333.30908935546876, C000, 10.98145
333.40901123046876, C000, 12.88743
333.50893310546877, C000, 11.70666
333.6088549804688, C000, 15.03562
333.70877734375, C000, 13.11542
349.79621923828125, C000, 10.28527
349.89614111328126, C000, 9.828702
349.9960632324219, C000, 10.85467
350.0959853515625, C000, 11.20298
350.1959072265625, C000, 8.961895
368.68147705078127, C000, 11.43862
368.7813991699219, C000, 11.47196
368.8813212890625, C000, 11.15214
368.9812431640625, C000, 11.1951
369.0811650390625, C000, 9.32008
369.1810871582031, C000, 15.72709
369.28100927734374, C000, 12.46335
369.38093115234375, C000, 14.97874
369.48085302734376, C000, 11.17896
377.1748471679688, C000, 9.212293
377.2747690429687, C000, 11.27955
377.3746911621094, C000, 11.60862
377.47461328125, C000, 12.27049
420.3411513671875, C000, 12.05136
420.4410732421875, C000, 13.42242
420.5409951171875, C000, 13.14087
426.23654931640624, C000, 14.25336
426.33647119140625, C000, 13.46536
426.43639306640625, C000, 13.79934
426.53631518554687, C000, 13.90051
426.6362373046875, C000, 12.92004
426.7361591796875, C000, 13.45454
426.8360810546875, C000, 14.85983
426.9360031738281, C000, 12.94121
453.2154892578125, C000, 9.188298
453.3154111328125, C000, 11.88348
