Time (s), Cell Name, Value
7.963080322265625, C000, 10.94193
8.063002197265625, C000, 10.75683
8.162924072265625, C000, 7.97154
8.262845947265625, C000, 9.988268
8.362768310546874, C000, 11.56995
8.462690185546874, C000, 10.32079
8.562612060546876, C000, 18.84296
8.662533935546875, C000, 14.48042
8.762456298828125, C000, 16.19368
8.862378173828125, C000, 16.77405
8.962300048828125, C000, 9.640717
39.9381201171875, C000, 4.437055
40.038042236328124, C000, 10.05307
40.137964111328124, C000, 8.560365
40.23788623046875, C000, 5.093443
44.93422021484375, C000, 12.01782
45.03414208984375, C000, 14.27942
45.13406420898438, C000, 14.26045
45.23398608398438, C000, 14.75058
45.333908203125, C000, 14.66653
45.433830078125, C000, 8.24649
45.53375219726563, C000, 10.14618
53.72735620117187, C000, 9.078756
53.82727807617187, C000, 10.82101
53.9272001953125, C000, 14.96362
54.0271220703125, C000, 11.10883
54.12704418945312, C000, 12.94422
54.22696630859375, C000, 14.01239
54.32688818359375, C000, 15.83603
54.42681005859375, C000, 18.6229
54.526732177734374, C000, 6.036461
54.626654296875, C000, 11.61752
54.726576171875, C000, 15.84643
55.02634228515625, C000, 5.409355
55.12626416015625, C000, 20.63439
55.22618603515625, C000, 23.34916
55.32610791015625, C000, 17.87914
55.4260302734375, C000, 7.121109
55.5259521484375, C000, 5.429749
55.725796142578126, C000, 13.65653
55.82571826171875, C000, 18.80737
55.92564013671875, C000, 18.46696
56.02556201171875, C000, 4.410156
56.12548413085938, C000, 16.20094
56.22540625, C000, 12.14392
56.325328125, C000, 5.72818
56.52517211914063, C000, 5.355118
56.62509423828125, C000, 4.663986
59.02322216796875, C000, 4.527225
59.322988037109376, C000, 4.750771
68.815578125, C000, 11.75958
68.91550024414063, C000, 9.77204
69.01542211914062, C000, 8.613796
69.6149541015625, C000, 7.656139
69.71487622070312, C000, 15.08322
69.81479809570313, C000, 6.183403
69.91472021484375, C000, 4.794498
108.38469018554687, C000, 4.411586
108.48461206054688, C000, 9.750385
108.5845341796875, C000, 11.09087
108.6844560546875, C000, 11.92754
108.78437817382813, C000, 12.29337
108.88430004882812, C000, 11.48369
108.98422216796875, C000, 15.16488
109.08414428710938, C000, 13.2448
109.18406616210937, C000, 6.40081
111.68211596679687, C000, 4.493959
121.57439404296875, C000, 9.056738
121.67431616210938, C000, 10.79324
121.77423828125, C000, 10.07585
121.87416015625, C000, 9.81571
121.97408203125, C000, 10.40546
129.767998046875, C000, 7.721548
129.86792016601564, C000, 14.65706
129.96784204101561, C000, 11.17147
130.06776416015626, C000, 10.97576
130.16768603515624, C000, 10.97259
130.26760815429688, C000, 10.02502
130.3675302734375, C000, 11.79123
130.4674521484375, C000, 14.13545
130.5673740234375, C000, 13.19932
130.66729614257812, C000, 7.02552
155.04826416015624, C000, 7.605924
155.14818627929688, C000, 10.30071
155.2481081542969, C000, 8.383814
155.34803002929686, C000, 11.8338
155.4479521484375, C000, 9.657806
155.54787426757812, C000, 8.855854
155.64779614257813, C000, 6.357101
168.13804614257813, C000, 5.877241
168.23796826171875, C000, 11.01177
168.33789013671876, C000, 9.002489
168.43781225585937, C000, 11.50047
168.53773413085938, C000, 10.97179
168.63765625, C000, 12.97301
168.737578125, C000, 15.09129
168.8375002441406, C000, 13.03628
168.93742211914062, C000, 10.72228
169.03734399414063, C000, 10.60762
169.13726611328124, C000, 9.275841
169.2371882324219, C000, 17.04211
169.33711010742186, C000, 5.775764
193.61815625, C000, 5.092281
193.718078125, C000, 8.610149
193.81800024414062, C000, 9.948819
193.91792211914063, C000, 13.17351
194.01784423828124, C000, 9.38187
194.11776611328125, C000, 12.24013
194.21768823242186, C000, 13.58302
194.31761010742187, C000, 10.8148
194.4175322265625, C000, 11.77112
212.70325805664064, C000, 5.8468
212.8031799316406, C000, 10.13696
212.90310229492187, C000, 11.22424
213.00302416992187, C000, 11.99677
213.10294604492188, C000, 12.88937
213.20286791992189, C000, 14.907
213.30279028320314, C000, 14.7947
213.40271215820312, C000, 14.17174
217.9991240234375, C000, 5.585464
218.09904614257812, C000, 15.91615
218.19896826171876, C000, 13.96144
218.29889013671874, C000, 13.45603
218.39881201171875, C000, 14.42973
218.49873413085936, C000, 17.57945
218.59865625, C000, 17.367
218.698578125, C000, 14.8085
218.7985, C000, 16.06823
218.89842211914063, C000, 9.076202
219.69779809570312, C000, 13.75013
219.79772021484376, C000, 19.03206
219.89764208984374, C000, 9.844887
220.49717407226564, C000, 15.71952
220.59709619140625, C000, 24.60892
220.69701831054687, C000, 22.01479
220.79694018554687, C000, 19.66676
220.89686206054688, C000, 19.90981
220.9967841796875, C000, 10.23013
221.19662817382812, C000, 5.053894
221.29655004882812, C000, 4.577576
221.39647192382813, C000, 5.146881
221.49639428710938, C000, 19.39133
221.5963161621094, C000, 24.84383
221.69623803710937, C000, 16.37305
221.79615991210937, C000, 8.600159
221.99600415039063, C000, 6.71843
222.0959260253906, C000, 4.261002
223.09514624023439, C000, 4.794464
223.59475610351564, C000, 4.949303
226.492494140625, C000, 4.455463
226.79226025390625, C000, 4.298136
237.3839921875, C000, 10.88905
237.48391430664063, C000, 8.909329
237.58383618164063, C000, 7.142126
251.97260400390624, C000, 5.239691
258.76730029296874, C000, 5.928422
265.96168408203124, C000, 7.578175
266.06160620117186, C000, 12.08922
266.16152807617186, C000, 11.56387
266.2614501953125, C000, 13.15862
266.3613720703125, C000, 8.5839
266.4612941894531, C000, 11.6379
266.5612160644531, C000, 12.54198
266.6611381835938, C000, 8.495968
280.65021801757814, C000, 9.847707
280.75014013671876, C000, 6.976184
280.85006225585937, C000, 5.954975
280.9499841308594, C000, 9.837629
281.0499060058594, C000, 10.43035
281.1498283691406, C000, 13.68759
281.2497502441406, C000, 14.16887
281.3496721191406, C000, 11.55958
281.94920434570315, C000, 6.408726
282.0491262207031, C000, 19.81038
282.1490480957031, C000, 21.67074
282.2489699707031, C000, 18.34965
282.3488923339844, C000, 16.19634
282.4488142089844, C000, 10.96804
287.5448361816406, C000, 9.438107
287.6447580566406, C000, 15.65776
287.74468017578124, C000, 13.49914
287.84460205078125, C000, 16.42001
287.94452416992186, C000, 15.6983
288.04444604492187, C000, 17.74882
288.1443681640625, C000, 19.47047
288.2442902832031, C000, 8.909119
288.4441340332031, C000, 6.355576
295.7384401855469, C000, 4.575152
295.8383620605469, C000, 9.285913
295.9382841796875, C000, 12.92877
296.0382060546875, C000, 9.732258
296.13812817382814, C000, 14.66403
296.23805004882814, C000, 13.50882
296.33797216796876, C000, 13.78358
296.43789404296876, C000, 12.30869
296.5378161621094, C000, 6.854248
298.13656811523435, C000, 4.435658
311.02650634765627, C000, 4.167705
311.1264282226563, C000, 12.00663
311.2263500976562, C000, 8.974503
311.32627197265623, C000, 9.791599
311.4261943359375, C000, 9.926353
311.5261162109375, C000, 12.21221
328.9125439453125, C000, 5.894335
329.01246630859373, C000, 8.3811
329.11238818359374, C000, 10.63724
329.21231005859374, C000, 4.970282
